method,benign_angle_mae_deg,Aq_angle_mae_deg,Ad_angle_mae_deg,As_angle_mae_deg,Ar_angle_mae_deg,At_angle_mae_deg,Al_angle_mae_deg,Am_angle_mae_deg,geo_angle_mae_deg
wls,0.01517,0.02742,0.02425,0.02430,0.12794,0.01703,0.02268,0.02212,0.02682
removal,0.01517,0.02742,0.01781,0.01782,0.01622,0.01703,0.02268,0.02212,0.01918
huber,0.01517,0.02742,0.01896,0.01960,0.01799,0.01703,0.02268,0.02212,0.01981
prior+huber,0.01169,0.02411,0.01458,0.01536,0.01396,0.01357,0.01962,0.01939,0.01611
jacobian,0.01517,0.02742,0.01949,0.01994,0.03057,0.01704,0.02268,0.02212,0.02129
