method,benign_angle_mae_deg,Aq_angle_mae_deg,Ad_angle_mae_deg,As_angle_mae_deg,Ar_angle_mae_deg,At_angle_mae_deg,Al_angle_mae_deg,Am_angle_mae_deg,geo_angle_mae_deg
wls,0.00891,0.02347,0.02723,0.02948,0.05158,0.01143,0.02026,0.01422,0.02027
removal,0.00891,0.02347,0.01355,0.01381,0.00996,0.01143,0.02026,0.01422,0.01376
huber,0.00891,0.02348,0.01298,0.01428,0.01080,0.01143,0.02026,0.01422,0.01388
prior+huber,0.00653,0.01812,0.00941,0.01029,0.00796,0.00844,0.01472,0.01061,0.01023
jacobian,0.00891,0.02347,0.01691,0.01963,0.01551,0.01143,0.02026,0.01422,0.01562
prior+huber+gate,0.00678,0.01761,0.00815,0.00821,0.00835,0.00919,0.01823,0.01145,0.01031
prior+huber+oracle,0.00653,0.01683,0.00737,0.00745,0.00728,0.00853,0.01780,0.01478,0.00998
