method,benign_angle_mae_deg,Aq_angle_mae_deg,Ad_angle_mae_deg,As_angle_mae_deg,Ar_angle_mae_deg,At_angle_mae_deg,Al_angle_mae_deg,Am_angle_mae_deg,geo_angle_mae_deg
wls,0.00831,0.41307,0.12424,0.23161,0.23142,0.08522,0.05135,0.04563,0.09066
removal,0.00834,0.41308,0.05575,0.06332,0.02295,0.08523,0.05138,0.04564,0.05227
huber,0.00888,0.41377,0.04393,0.08304,0.04213,0.08575,0.05153,0.04565,0.05716
prior+huber,0.01292,0.35487,0.02602,0.07103,0.03222,0.06599,0.04812,0.04554,0.05007
jacobian,0.00831,0.41307,0.07772,0.16086,0.12331,0.08522,0.05135,0.04563,0.07551
prior+huber+gate,0.01378,0.30008,0.02219,0.02122,0.02183,0.07033,0.07608,0.06180,0.04400
prior+huber+oracle,0.01292,0.30126,0.01961,0.01960,0.02025,0.05995,0.07495,0.05927,0.04105
