method,benign_angle_mae_deg,Aq_angle_mae_deg,Ad_angle_mae_deg,As_angle_mae_deg,Ar_angle_mae_deg,At_angle_mae_deg,Al_angle_mae_deg,Am_angle_mae_deg,geo_angle_mae_deg
wls,0.00833,0.29036,0.12693,0.23455,0.23355,0.11694,0.06871,0.05620,0.09662
removal,0.00836,0.29037,0.06110,0.08833,0.06454,0.11698,0.06873,0.05620,0.06649
huber,0.00916,0.29158,0.04589,0.08834,0.03999,0.11799,0.06918,0.05674,0.06135
prior+huber,0.01345,0.21886,0.02693,0.07667,0.03001,0.07690,0.05724,0.04824,0.04995
jacobian,0.00833,0.29036,0.08241,0.16808,0.14278,0.11693,0.06871,0.05620,0.08257
prior+huber+gate,0.01411,0.28412,0.02212,0.02309,0.02383,0.15081,0.16174,0.13872,0.05987
prior+huber+oracle,0.01345,0.21941,0.02016,0.02082,0.01997,0.08134,0.14233,0.13134,0.04976
