method,benign_angle_mae_deg,Aq_angle_mae_deg,Ad_angle_mae_deg,As_angle_mae_deg,Ar_angle_mae_deg,At_angle_mae_deg,Al_angle_mae_deg,geo_angle_mae_deg
wls,0.01533,0.39226,0.02497,0.02524,0.13206,0.06962,2.27703,0.09675
huber,0.01533,0.39226,0.01917,0.01981,0.01812,0.06962,2.27703,0.06776
prior+huber,0.01183,0.39112,0.01478,0.01548,0.01413,0.06789,2.27637,0.05838
jacobian,0.01532,0.39224,0.01991,0.02037,0.03204,0.06963,2.27705,0.07420
prior+huber+gate,0.01205,0.39085,0.01257,0.01244,0.01256,0.06793,2.27685,0.05451
prior+huber+oracle,0.01183,0.39074,0.01237,0.01224,0.01233,0.06809,2.27675,0.05400
