method,fr,Aq_macro_f1,Ad_macro_f1,As_macro_f1,Ar_macro_f1,At_macro_f1,Al_macro_f1,Am_macro_f1
swing,0.01000,0.5202,0.7732,0.7575,0.6640,0.0021,0.4372,0.0008
delta,0.00946,0.4434,0.7703,0.7174,0.5892,0.0000,0.2611,0.0004
residual,0.00719,0.0109,0.3240,0.3098,0.3606,0.0101,0.0080,0.0129
mlp,0.01019,0.7684,0.8622,0.8627,0.7496,0.0683,0.8551,0.4538
cnn,0.01180,0.8091,0.7802,0.7981,0.6572,0.0674,0.9339,0.1747
cnn+jac,0.01161,0.8493,0.7132,0.6892,0.5275,0.1307,0.9364,0.1661
cnn+prev,0.01230,0.8873,0.8293,0.8259,0.7238,0.1003,0.9622,0.2311
cnn+prev+jac,0.01242,0.9180,0.7704,0.7483,0.5709,0.1368,0.9600,0.2370
