method,fr,Aq_macro_f1,Ad_macro_f1,As_macro_f1,Ar_macro_f1,At_macro_f1,Al_macro_f1,Am_macro_f1
swing,0.01163,0.1571,0.2955,0.2552,0.2845,0.0018,0.0777,0.0013
delta,0.00739,0.0467,0.1524,0.1335,0.2121,0.0000,0.0258,0.0002
residual,0.00166,0.0026,0.5705,0.5797,0.5717,0.0022,0.0029,0.0055
mlp,0.01179,0.9137,0.9036,0.8957,0.7994,0.2291,0.8396,0.6432
cnn,0.01995,0.9084,0.9111,0.9378,0.8328,0.5858,0.9866,0.8634
cnn+jac,0.01674,0.9047,0.9483,0.9391,0.8475,0.5927,0.9859,0.8156
cnn+prev,0.02480,0.9329,0.9203,0.9296,0.8124,0.6419,0.9801,0.8535
cnn+prev+jac,0.02555,0.9149,0.9527,0.9485,0.8391,0.6538,0.9880,0.8542
