method,benign_angle_mae_deg,Aq_angle_mae_deg,Ad_angle_mae_deg,As_angle_mae_deg,Ar_angle_mae_deg,At_angle_mae_deg,Al_angle_mae_deg,Am_angle_mae_deg,geo_angle_mae_deg
wls,0.01512,0.02820,0.02453,0.02420,0.12287,0.01999,0.02275,0.01981,0.02697
removal,0.01512,0.02820,0.01775,0.01773,0.01589,0.01999,0.02275,0.01981,0.01930
huber,0.01512,0.02820,0.01891,0.01946,0.01763,0.01999,0.02275,0.01981,0.01993
prior+huber,0.01175,0.02432,0.01453,0.01523,0.01387,0.01653,0.01973,0.01683,0.01623
jacobian,0.01512,0.02820,0.01958,0.01982,0.02940,0.01999,0.02275,0.01980,0.02139
prior+huber+gate,0.01202,0.02550,0.01240,0.01240,0.01254,0.01765,0.01892,0.01700,0.01551
prior+huber+oracle,0.01175,0.02379,0.01215,0.01213,0.01217,0.01689,0.01841,0.01578,0.01492
